x0,x1,y0,y2
0.002,0.715,-0.4294170112100815,-0.20472191254553354
0.002,0.72,-0.4447271371149372,-0.17405278464190502
0.002,0.725,-0.45832169437032255,-0.14322930898965316
0.002,0.73,-0.4701523694286216,-0.11228194302537009
0.002,0.735,-0.4801765673972529,-0.08124168598437762
0.002,0.74,-0.48835783219520984,-0.05013968035277688
0.002,0.745,-0.4946660632053588,-0.01900717641948871
0.002,0.75,-0.4990777184452617,0.012124504544618525
0.002,0.755,-0.5015760016248507,0.04322400838705728
0.002,0.76,-0.5021510303654999,0.07425998735140646
0.002,0.765,-0.5007999828029163,0.10520114042184467
0.002,0.77,-0.497527219790022,0.13601625461614122
0.002,0.775,-0.4923443799610379,0.16667424710047343
0.002,0.78,-0.48527044501777267,0.1971442079909607
0.002,0.785,-0.47633165521217413,0.22739580289567232
0.002,0.79,-0.4655619564396734,0.2573978767027747
0.002,0.795,-0.4530023222991375,0.28712066181786067
0.002,0.8,-0.43870108237515565,0.31653437663715833
0.002,0.805,-0.4227137112337961,0.3456096313890189
0.002,0.81,-0.4051026727682095,0.37431747164041895
0.002,0.8150000000000001,-0.38593722411609804,0.4026294212409489
0.002,0.8200000000000001,-0.36529317941670025,0.4305175244769348
0.002,0.8250000000000001,-0.3432526342457646,0.4579543871976358
0.002,0.8300000000000001,-0.3199036521536769,0.48491321666630327
0.002,0.835,-0.2953399153189961,0.5113678598824782
0.002,0.84,-0.26966034190240945,0.5372928401185348
0.002,0.845,-0.24296834943160886,0.5626636904539264
0.002,0.85,-0.21537270050603946,0.5874557827801369
0.002,0.855,-0.18698512986249663,0.6116461725398878
0.002,0.86,-0.15792112661021246,0.63521240891629
0.002,0.865,-0.12829912855470527,0.6581328645586378
0.002,0.87,-0.09824002038224877,0.6803867563631713
0.002,0.875,-0.0678666282871816,0.7019541629522236
0.002,0.88,-0.03730321596673297,0.7228160387370147
0.002,0.885,-0.006674986780378145,0.7429542244896415
0.002,0.89,0.0238924033547534,0.7623514543936392
0.002,0.895,0.05427331807789354,0.7809913595895345
0.002,0.9,0.08434259385033688,0.7988584682806964
0.002,0.905,0.11397597098030315,0.815938202514716
0.002,0.91,0.14305084231402038,0.8322170610358083
0.002,0.915,0.1714452517680089,0.8476818432637118
0.002,0.92,0.1990403253842687,0.8623208018540834
0.002,0.925,0.22571919557368197,0.8761228423409745
0.002,0.93,0.251367639380966,0.8890777055553608
0.002,0.935,0.27587433566922553,0.9011759495134156
0.002,0.94,0.29913109189826487,0.9124089300309571
0.002,0.945,0.32103304147887274,0.9227687804816015
0.002,0.95,0.3414788131110074,0.9322483911279943
0.002,0.955,0.36037067388063077,0.9408413884594721
0.002,0.96,0.3776146481951788,0.9485421149660193
0.002,0.965,0.39312061487852773,0.9553456097669665
0.002,0.97,0.4068025368190051,0.9612476554628034
0.002,0.975,0.4185778912082437,0.9662444909634859
0.002,0.98,0.42836869656539606,0.9703332191779154
0.002,0.985,0.43610087297644534,0.9735115025398114
0.002,0.99,0.4417044430041916,0.9757776290380523
0.002,0.995,0.445113552181941,0.9771305052573139
0.002,1.0,0.44626648560045573,0.9775696523299237
